Description,Location,Price,Bedrooms,Bathrooms,Floor Area,Land Area,Region,Urbanicity
"2-Bedroom House for Sale in Mexico, Pampanga at The Lakeshore | Imperial Model","Km.71, North Luzon Expressway Panipuan, Mexico",1837500.0,2.0,2.0,52.5,154.0,Region III,Urban
"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)","Km. 19 West Service Rd. Cupang, Muntinlupa",27676000.0,3.0,3.0,219.3,91.0,NCR,Urban
"2BR Townhouse for Sale in Lipa, Batangas | The Villages at Lipa - Brook Village, TH53","Bugtong Na Pulo, Lipa",4000000.0,2.0,1.0,53.0,52.0,Region IV-A,Urban
"Ready For You: 1BR SA House and Lot (Ananda) for Sale in Compostela, Cebu at Amoa at Php 90,416 monthly amortization","Tamiao, Compostela",5580000.0,1.0,1.0,,,Region VII,Urban
"3-Bedroom Townhouse for Sale in Imus, Cavite at Lancaster New City | THEA Model","Alapan II-A, Imus",2632250.0,3.0,2.0,60.0,50.0,Region IV-A,Urban
"4-Bedroom House and Lot for Sale in Pavia, Iloilo at Parc Regency Residences | OLIVE Model","Ungka II, Pavia",5337920.0,4.0,2.0,80.0,120.0,Region I,Rural
"3-Bedroom Townhouse for Sale in Kawit, Cavite at Lancaster New City | ALICE Model","San Sebastian, Kawit",2292960.0,3.0,1.0,40.0,40.0,Region IV-A,Urban
"3BR 2-Storey Single Attached House and Lot for Sale in Tanza, Cavite | Las Brisas at Tierra del Sol","Governor's Dr. Tanauan, Tanza",4337472.0,3.0,2.0,112.5,72.0,Region IV-A,Urban
"For Sale 3BR 2-Storey Single Attached House and Lot in Tanza, Cavite | Las Brisas at Tierra del Sol","Governor's Dr. Tanauan, Tanza",4337472.0,3.0,2.0,112.5,72.0,Region IV-A,Urban
"2BR 2-Storey Townhouse for Sale in Brgy. Caypombo, Santa Maria, Bulacan at Las Palmas","Cay Pombo, Santa Maria",2178000.0,2.0,1.0,44.0,36.0,Region III,Urban
"2BR 2-Storey Townhouse for Sale in Davao City, Davao del Sur at PHINMA Maayo Tugbok | Adlaw Model","Tugbok, Davao",3600000.0,2.0,2.0,48.26,50.0,Region XI,Urban
"3-Bedroom Townhouse for Sale in Tanza, Cavite at Micara Estates | PORTIA Typical Corner Unit w/ Fence","Antero Soriano Highway Sahud Ulan, Tanza",2839149.0,3.0,1.0,45.0,62.0,Region IV-A,Urban
"3-Bedroom Townhouse for Sale in General Trias, Cavite at Lancaster New City | THEA Model","Pasong Camachile I, General Trias",2632250.0,3.0,2.0,60.0,50.0,Region IV-A,Urban
"2BR House and Lot for Sale in Mexico, Pampanga | Parklane at The Lakeshore, Imperial","San Rafael, Mexico",1837500.0,2.0,2.0,52.5,,Region III,Urban
"4-Bedroom Townhouse for Sale in Kawit, Cavite at Lancaster New City | ADELLE Model","San Sebastian, Kawit",3336800.0,4.0,2.0,70.0,60.0,Region IV-A,Urban
"3-Bedroom House for Sale in Mexico, Pampanga at The Lakeshore | Hyde Model","Km.71, North Luzon Expressway Panipuan, Mexico",2705850.0,3.0,2.0,77.31,154.0,Region III,Urban
"For Sale 2-Bedroom 2-Storey Townhouse in Mabalacat, Pampanga at Talanai Homes | MAHOGANY","Sapang Biabas, Mabalacat",1400000.0,2.0,1.0,40.0,40.0,Region III,Urban
02376 Brand New Ponte Verde House for Sale in Davao City,"Buhangin, Davao",21500000.0,5.0,4.0,300.0,200.0,Region XI,Urban
"3-Bedroom House and Lot for Sale in Imus, Cavite at Lancaster New City | AIRA Model","Alapan II-A, Imus",5282600.0,3.0,2.0,80.0,92.0,Region IV-A,Urban
"Ready For You: 3BR SA House and Lot for Sale in Cabanatuan, Nueva Ecija at Ajoya Cabanatuan at Php 43,175 monthly amortization","Valle Cruz, Cabanatuan",5381000.0,3.0,2.0,80.0,203.0,Region III,Urban
"For Sale 3-Bedroom Townhouse in Tanza, Cavite at Micara Estates | PORTIA Typical End Unit w/ Fence","Antero Soriano Highway Sahud Ulan, Tanza",2258057.0,3.0,1.0,45.0,62.0,Region IV-A,Urban
"For Sale 3BR 2-Storey House and Lot in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Cara w/ CB 99sqm","Emilio Vergara Hwy Santa Arcadia, Cabanatuan",5991000.0,3.0,2.0,66.0,99.0,Region III,Urban
"Townhouse with 2 Bedrooms for Sale in Davao City, Davao del Sur at PHINMA Maayo Tugbok | Adlaw Model","Tugbok, Davao",3600000.0,2.0,2.0,48.26,50.0,Region XI,Urban
"For Sale RFO 2BR 2-Storey Townhouse in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Reana IU 36sqm","Emilio Vergara Hwy Santa Arcadia, Cabanatuan",2972000.0,2.0,1.0,40.0,36.0,Region III,Urban
"2BR 2-Storey Townhouse for Sale in Mabalacat, Pampanga at Talanai Homes | MAHOGANY","Sapang Biabas, Mabalacat",1400000.0,2.0,1.0,40.0,40.0,Region III,Urban
"For Sale 4BR 2-Storey House and Lot in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Dani 99sqm","Emilio Vergara Hwy Santa Arcadia, Cabanatuan",7315000.0,4.0,3.0,83.0,99.0,Region III,Urban
