Price,Bedrooms,Bathrooms,Floor Area,Land Area,Region
5192000.0,2.0,1.0,46.0,96.0,Region III
4488000.0,2.0,1.0,46.0,63.0,Region III
3559000.0,2.0,1.0,46.0,63.0,Region III
5605000.0,2.0,2.0,53.0,115.0,Region III
5978000.0,3.0,3.0,90.0,100.0,Region IV-A
10770000.0,5.0,3.0,166.0,176.0,Region III
11739000.0,5.0,3.0,142.0,190.0,Region III
4772388.0,3.0,2.0,80.0,203.0,Region III
7410000.0,4.0,3.0,100.0,120.0,Region IV-A
4436364.0,3.0,2.0,72.0,100.0,Region I
8700000.0,3.0,3.0,84.75,125.21,Region III
2706500.0,3.0,2.0,62.0,65.0,Region III
26953000.0,3.0,3.0,219.3,91.0,NCR
8700000.0,3.0,3.0,84.75,125.21,Region III
7452000.0,3.0,2.0,80.0,203.0,Region III
5690000.0,3.0,2.0,72.0,100.0,Region IV-A
5691000.0,2.0,2.0,53.0,110.0,Region I
13479000.0,5.0,3.0,166.0,230.0,Region III
7410000.0,4.0,3.0,100.0,120.0,Region IV-A
8434000.0,2.0,2.0,53.0,246.0,Region I
28678000.0,3.0,3.0,219.3,91.0,NCR
5772333.0,4.0,2.0,96.0,196.0,Region III
26953000.0,3.0,3.0,219.3,91.0,NCR
8700000.0,3.0,3.0,84.75,125.21,Region III
4079000.0,2.0,1.0,36.0,74.0,Region III
12576000.0,4.0,3.0,83.0,132.0,Region III
7425000.0,4.0,3.0,85.0,99.0,Region III
4414000.0,2.0,1.0,36.0,63.0,Region III
4608000.0,2.0,1.0,46.0,63.0,Region III
10185000.0,5.0,3.0,142.0,142.0,Region III
3702000.0,2.0,1.0,40.0,63.0,Region III
4432000.0,2.0,1.0,40.0,64.0,Region III
8158000.0,5.0,3.0,100.0,121.0,Region III
7764000.0,4.0,3.0,83.0,110.0,Region III
2717000.0,2.0,1.0,36.0,42.0,Region III
3228000.0,2.0,1.0,36.0,54.0,Region III
3643800.0,2.0,1.0,39.64,100.0,Region IV-A
10061000.0,5.0,3.0,166.0,143.0,Region III
8608000.0,5.0,3.0,100.0,132.0,Region III
10354000.0,5.0,3.0,142.0,143.0,Region III
8086000.0,4.0,3.0,85.0,120.0,Region III
5779000.0,2.0,2.0,53.0,96.0,Region III
12866000.0,5.0,3.0,166.0,198.0,Region III
10500000.0,3.0,3.0,120.0,132.0,Region IV-A
3116400.0,3.0,2.0,89.54,154.0,Region III
12035000.0,5.0,3.0,166.0,190.0,Region III
15500000.0,2.0,1.0,60.0,185.0,Region IV-A
2089739.0,2.0,2.0,40.0,45.0,Region IV-A
3079100.0,2.0,1.0,34.2,84.0,Region IV-A
1918427.0,2.0,2.0,38.0,36.0,Region IV-A
6480000.0,4.0,3.0,83.0,110.0,Region III
8000000.0,4.0,3.0,133.5,122.0,Region XI
17500000.0,5.0,4.0,260.0,232.0,Region XI
7410000.0,4.0,3.0,100.0,120.0,Region IV-A
3649500.0,3.0,1.0,67.5,100.0,Region IV-A
4058400.0,3.0,2.0,54.0,80.0,Region IV-A
32539000.0,3.0,3.0,247.4,93.0,NCR
28628000.0,3.0,3.0,219.3,105.0,NCR
26393000.0,3.0,3.0,219.3,91.0,NCR
28090000.0,3.0,3.0,219.3,90.0,NCR
26953000.0,3.0,3.0,219.3,91.0,NCR
29196000.0,3.0,3.0,219.3,105.0,NCR
28636000.0,3.0,3.0,219.3,105.0,NCR
